"form","count","description","example_filing_url","example_primary_doc_url"
"4","8942271","Statement of changes in beneficial ownership of securities. Filed by individuals or entities who own more than 10% of a company's shares.","https://www.sec.gov/Archives/edgar/data/1873893/000106299324015930/0001062993-24-015930-index.html","https://www.sec.gov/Archives/edgar/data/1201792/000106299324015930/xslF345X05/form4.xml"
"8-K","1950655","Current report for major events. Companies file this to disclose material events or information that is important to investors.","https://www.sec.gov/Archives/edgar/data/1555279/000110465924095714/0001104659-24-095714-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1555279/000110465924095714/tm2423132d1_8k.htm"
"SC 13G/A","849470","Amendment to beneficial ownership report. Filed when there are material changes to the information in a previously filed Schedule 13G.","https://www.sec.gov/Archives/edgar/data/1472322/000110465924095654/0001104659-24-095654-index.html","https://www.sec.gov/Archives/edgar/data/1472322/000110465924095654/tm2423053d1_sc13ga.htm"
"3","805089","Initial statement of beneficial ownership of securities. Filed by individuals or entities when they acquire more than 10% ownership in a company's shares.","https://www.sec.gov/Archives/edgar/data/933972/000165495424011336/0001654954-24-011336-index.html","https://www.sec.gov/Archives/edgar/data/933972/000165495424011336/xslF345X02/section16.xml"
"424B2","746374","Prospectus. Provides details about a company and its securities offering, including financial information, risks, and management discussion.","https://www.sec.gov/Archives/edgar/data/70858/000121390024074558/0001213900-24-074558-index.html","https://www.sec.gov/Archives/edgar/data/70858/000121390024074558/ea0212948-01_424b2.htm"
"10-Q","680605","Quarterly report. Public companies file this to disclose their financial and operational performance for the quarter.","https://www.sec.gov/Archives/edgar/data/1090872/000109087224000033/0001090872-24-000033-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1090872/000109087224000033/a-20240731.htm"
"6-K","521837","Report of foreign issuer. Filed by foreign private issuers to provide updates on their business and financial condition.","https://www.sec.gov/Archives/edgar/data/1572621/000121390024074128/0001213900-24-074128-index.html","https://www.sec.gov/Archives/edgar/data/1572621/000121390024074128/ea0213008-6k_aenza.htm"
"497","506883","Definitive proxy statement. Sent to shareholders before a meeting to provide information about matters to be voted on.","https://www.sec.gov/Archives/edgar/data/862021/000091957424005200/0000919574-24-005200-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/862021/000091957424005200/abfis-20240830.htm"
"SC 13G","447604","Statement of beneficial ownership of securities. Filed by institutional investors who acquire more than 5% of a company's voting stock.","https://www.sec.gov/Archives/edgar/data/1694297/000092189524002040/0000921895-24-002040-index.html","https://www.sec.gov/Archives/edgar/data/1393883/000092189524002040/sc13g10680006_08302024.htm"
"D","408190","Notice of sale of securities. Filed to register securities offerings, particularly for exempt offerings under Regulation D.","https://www.sec.gov/Archives/edgar/data/2033967/000203396724000001/0002033967-24-000001-index.html","https://www.sec.gov/Archives/edgar/data/2033967/000203396724000001/xslFormDX01/primary_doc.xml"
"13F-HR","384063","Report of institutional investment managers. Requires institutional investors to disclose their equity holdings.","https://www.sec.gov/Archives/edgar/data/2035548/000203554824000001/0002035548-24-000001-index.html","https://www.sec.gov/Archives/edgar/data/2035548/000203554824000001/xslForm13F_X02/primary_doc.xml"
"424B3","328196","Prospectus. A supplement to the basic prospectus, including additional information about the securities offering.","https://www.sec.gov/Archives/edgar/data/1918712/000191871224000117/0001918712-24-000117-index.html","https://www.sec.gov/Archives/edgar/data/1918712/000191871224000117/asif424b3-supplementxsocge.htm"
"497K","288538","Summary prospectus for variable insurance products. Provides key information about variable insurance contracts in a concise format.","https://www.sec.gov/Archives/edgar/data/862021/000119312524210731/0001193125-24-210731-index.html","https://www.sec.gov/Archives/edgar/data/862021/000119312524210731/d795289d497k.htm"
"SC 13D/A","269091","Amendment to beneficial ownership report. Filed to report changes to a previously filed Schedule 13D, often due to changes in ownership.","https://www.sec.gov/Archives/edgar/data/1653986/000095014224002302/0000950142-24-002302-index.html","https://www.sec.gov/Archives/edgar/data/1618756/000095014224002302/eh240525521_13da21-qsr.htm"
"4/A","259704","Amendment to a statement of changes in beneficial ownership of securities. Filed to update or correct information from a previously filed Form 4.","https://www.sec.gov/Archives/edgar/data/1741639/000089706924001784/0000897069-24-001784-index.html","https://www.sec.gov/Archives/edgar/data/1512499/000089706924001784/xslF345X05/form4.xml"
"D/A","258500","Amendment to Notice of sale of securities. Filed to make changes or corrections to a previously filed Form D.","https://www.sec.gov/Archives/edgar/data/1991006/000090266424005361/0000902664-24-005361-index.html","https://www.sec.gov/Archives/edgar/data/1991006/000090266424005361/xslFormDX01/primary_doc.xml"
"FWP","251724","Filed when a company becomes subject to the reporting requirements of the Exchange Act.  This is often due to an IPO or other event.","https://www.sec.gov/Archives/edgar/data/70858/000191870424000367/0001918704-24-000367-index.html","https://www.sec.gov/Archives/edgar/data/70858/000191870424000367/formfwp-33668_bac.htm"
"CORRESP","246996","Correspondence. Includes letters, emails, or other communications filed with the SEC, typically related to other filings.","https://www.sec.gov/Archives/edgar/data/1399520/000110465924087567/0001104659-24-087567-index.html","https://www.sec.gov/Archives/edgar/data/1399520/000110465924087567/filename1.htm"
"NPORT-P","239349","Monthly portfolio report of registered investment companies. Provides a snapshot of a fund's holdings and their values.","https://www.sec.gov/Archives/edgar/data/814679/000175272424199742/0001752724-24-199742-index.html","https://www.sec.gov/Archives/edgar/data/814679/000175272424199742/xslFormNPORT-P_X01/primary_doc.xml"
"UPLOAD","227758","Uploaded document.  Refers to supplemental materials submitted electronically alongside other filings.","https://www.sec.gov/Archives/edgar/data/1399520/000000000024008967/0000000000-24-008967-index.html","https://www.sec.gov/Archives/edgar/data/1399520/000000000024008967/filename1.pdf"
"5","227114","Report of unscheduled events.  It is used to report transactions by insiders.","https://www.sec.gov/Archives/edgar/data/1893956/000189395624000005/0001893956-24-000005-index.html","https://www.sec.gov/Archives/edgar/data/1893956/000189395624000005/xslF345X05/primary_doc.xml"
