cik,former_name,from_date,to_date
0000320193,APPLE INC,2007-01-10T00:00:00.000Z,2019-08-05T00:00:00.000Z
0000320193,APPLE COMPUTER INC,1994-01-26T00:00:00.000Z,2007-01-04T00:00:00.000Z
0000320193,APPLE COMPUTER INC/ FA,1997-07-28T00:00:00.000Z,1997-07-28T00:00:00.000Z
0001045810,NVIDIA CORP/CA,1998-05-07T00:00:00.000Z,2002-06-04T00:00:00.000Z
0001326801,Facebook Inc,2005-05-06T00:00:00.000Z,2021-10-27T00:00:00.000Z
0001067983,NBH INC,1998-08-10T00:00:00.000Z,1999-01-05T00:00:00.000Z
0000059478,LILLY ELI & CO,1994-10-26T00:00:00.000Z,2019-10-25T00:00:00.000Z
0000059478,LILLY ELI & CO ET AL,1994-07-27T00:00:00.000Z,1994-10-14T00:00:00.000Z
0001730168,Broadcom Ltd,2018-02-06T00:00:00.000Z,2018-03-09T00:00:00.000Z
0001318605,TESLA MOTORS INC,2005-02-17T00:00:00.000Z,2017-01-27T00:00:00.000Z
0000019617,J P MORGAN CHASE & CO,2001-02-08T00:00:00.000Z,2011-10-06T00:00:00.000Z
0000019617,CHASE MANHATTAN CORP /DE/,1996-10-17T00:00:00.000Z,2000-11-21T00:00:00.000Z
0000019617,CHEMICAL BANKING CORP,1994-02-02T00:00:00.000Z,1996-03-28T00:00:00.000Z
0000104169,WAL MART STORES INC,1994-02-14T00:00:00.000Z,2018-01-30T00:00:00.000Z
0000731766,UNITED HEALTHCARE CORP,1995-04-04T00:00:00.000Z,2000-02-14T00:00:00.000Z
0000034088,EXXON CORP,1994-05-11T00:00:00.000Z,1999-11-30T00:00:00.000Z
0000884394,SPDR TRUST SERIES 1,1996-02-14T00:00:00.000Z,2009-12-29T00:00:00.000Z
0000909832,COSTCO COMPANIES INC,1997-12-18T00:00:00.000Z,1999-06-29T00:00:00.000Z
0000909832,PRICE/COSTCO INC,1994-01-05T00:00:00.000Z,1997-01-06T00:00:00.000Z
0000200406,JOHNSON & JOHNSON ET AL,1995-10-06T00:00:00.000Z,1996-01-23T00:00:00.000Z
0001341439,Ozark Holding Inc.,2005-10-19T00:00:00.000Z,2006-02-01T00:00:00.000Z
0000937966,ASM LITHOGRAPHY HOLDING NV,1995-05-19T00:00:00.000Z,2001-02-16T00:00:00.000Z
0000354950,HOME DEPOT INC,1994-06-06T00:00:00.000Z,2019-07-01T00:00:00.000Z
0000070858,BANKAMERICA CORP/DE/,1998-10-30T00:00:00.000Z,1999-04-23T00:00:00.000Z
0000070858,NATIONSBANK CORP,1994-05-13T00:00:00.000Z,1998-09-28T00:00:00.000Z
0001065280,NETFLIX COM INC,2000-04-18T00:00:00.000Z,2002-03-06T00:00:00.000Z
0000310158,Merck & Co. Inc.,2009-11-04T00:00:00.000Z,2014-12-09T00:00:00.000Z
0000310158,SCHERING PLOUGH CORP,1994-12-29T00:00:00.000Z,2009-10-29T00:00:00.000Z
0000093410,CHEVRONTEXACO CORP,2001-11-01T00:00:00.000Z,2005-05-04T00:00:00.000Z
0000901832,ZENECA GROUP PLC,1995-03-13T00:00:00.000Z,1999-02-05T00:00:00.000Z
0001108524,"SALESFORCE.COM, INC.",2019-06-14T00:00:00.000Z,2022-03-31T00:00:00.000Z
0001108524,SALESFORCE COM INC,2003-12-18T00:00:00.000Z,2019-08-05T00:00:00.000Z
0001000184,SAP AG,2007-06-26T00:00:00.000Z,2014-07-07T00:00:00.000Z
0001000184,SAP AKTIENGESELLSCHAFT SYSTEMS APPLICATIONS PRODUCTS IN DATA,1996-08-08T00:00:00.000Z,2009-08-14T00:00:00.000Z
0000796343,ADOBE SYSTEMS INC,1994-09-09T00:00:00.000Z,2018-10-03T00:00:00.000Z
0000097745,THERMO ELECTRON CORP,1994-02-18T00:00:00.000Z,2006-11-03T00:00:00.000Z
0001283699,METROPCS COMMUNICATIONS INC,2004-03-23T00:00:00.000Z,2013-04-29T00:00:00.000Z
0001306965,Royal Dutch Shell plc,2004-10-28T00:00:00.000Z,2022-01-13T00:00:00.000Z
0001707925,ZAMALIGHT PLC,2017-06-01T00:00:00.000Z,2017-07-12T00:00:00.000Z
0001737806,Pinduoduo Inc.,2018-06-08T00:00:00.000Z,2023-02-03T00:00:00.000Z
0001737806,Walnut Street Group Holding Ltd,2018-05-07T00:00:00.000Z,2018-06-29T00:00:00.000Z
0000858877,CISCO SYSTEMS INC,1995-02-13T00:00:00.000Z,2011-11-22T00:00:00.000Z
0000072971,WELLS FARGO & CO/MN,1998-11-30T00:00:00.000Z,2012-04-10T00:00:00.000Z
0000072971,NORWEST CORP,1994-09-12T00:00:00.000Z,1998-10-21T00:00:00.000Z
0001067839,"POWERSHARES QQQ TRUST, SERIES 1",2009-01-30T00:00:00.000Z,2018-09-04T00:00:00.000Z
0001067839,NASDAQ 100 TRUST SERIES 1,1999-12-21T00:00:00.000Z,2009-01-26T00:00:00.000Z
0001067839,NASDAQ GOLD SM TRUST SER 1,1998-10-19T00:00:00.000Z,1998-10-19T00:00:00.000Z
0001067839,INVESTMENT PRODUCT SERVICES INC,1998-08-11T00:00:00.000Z,1998-08-07T00:00:00.000Z
0000896878,INTUIT INC,1996-10-17T00:00:00.000Z,2023-03-08T00:00:00.000Z
0001373715,SERVICE-NOW.COM,2006-08-22T00:00:00.000Z,2012-05-01T00:00:00.000Z
0000732712,BELL ATLANTIC CORP,1994-06-30T00:00:00.000Z,2000-09-13T00:00:00.000Z
0001393818,Blackstone Inc,2021-08-06T00:00:00.000Z,2022-04-07T00:00:00.000Z
0001393818,Blackstone Group Inc,2019-07-01T00:00:00.000Z,2021-08-05T00:00:00.000Z
0001393818,Blackstone Group L.P.,2007-03-22T00:00:00.000Z,2019-06-28T00:00:00.000Z
0000895421,MORGAN STANLEY DEAN WITTER & CO,1993-11-08T00:00:00.000Z,2002-07-12T00:00:00.000Z
0000895421,MORGAN STANLEY DEAN WITTER DISCOVER & CO,1997-06-19T00:00:00.000Z,1998-03-18T00:00:00.000Z
0000895421,DEAN WITTER DISCOVER & CO,1996-08-14T00:00:00.000Z,1997-05-08T00:00:00.000Z
0001744489,TWDC Holdco 613 Corp,2018-06-25T00:00:00.000Z,2018-06-28T00:00:00.000Z
0001744489,TWDC Holdco 613 Corp.,2018-06-27T00:00:00.000Z,2018-06-27T00:00:00.000Z
0000753308,FPL GROUP INC,1994-02-28T00:00:00.000Z,2010-05-21T00:00:00.000Z
0000886982,GOLDMAN SACHS GROUP INC/,2001-02-07T00:00:00.000Z,2008-03-04T00:00:00.000Z
0001000275,ROYAL BANK OF CANADA \,1996-09-04T00:00:00.000Z,2012-04-05T00:00:00.000Z
0000879764,TOTAL SE,2020-07-17T00:00:00.000Z,2021-05-12T00:00:00.000Z
0000879764,TOTAL S.A.,2012-09-17T00:00:00.000Z,2020-07-10T00:00:00.000Z
0000879764,TOTAL SA,2003-05-09T00:00:00.000Z,2012-11-28T00:00:00.000Z
0000879764,TOTAL FINA ELF SA,2000-11-16T00:00:00.000Z,2003-05-08T00:00:00.000Z
0000879764,TOTAL FINA SA,1999-07-13T00:00:00.000Z,2000-10-10T00:00:00.000Z
0000879764,TOTAL,1999-05-26T00:00:00.000Z,1999-05-06T00:00:00.000Z
0001089113,HSBC HOLDINGS PLC \,2002-02-25T00:00:00.000Z,2002-10-01T00:00:00.000Z
0000101829,RAYTHEON TECHNOLOGIES CORP,2020-04-07T00:00:00.000Z,2023-06-29T00:00:00.000Z
0000101829,UNITED TECHNOLOGIES CORP /DE/,1994-01-24T00:00:00.000Z,2020-04-06T00:00:00.000Z
0001166691,AT&T COMCAST CORP,2002-04-10T00:00:00.000Z,2002-11-18T00:00:00.000Z
0000064040,MCGRAW HILL FINANCIAL INC,2013-05-03T00:00:00.000Z,2016-05-03T00:00:00.000Z
0000064040,MCGRAW-HILL COMPANIES INC,1995-08-11T00:00:00.000Z,2013-04-30T00:00:00.000Z
