cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription
0000320193,Apple Inc.,operating,3571,Electronic Computers,06 Technology,0,1,AAPL,Nasdaq,942404110,,,,Large accelerated filer,0928,CA,CA,(408) 996-1010,,ONE APPLE PARK WAY,,CUPERTINO,CA,95014,CA,ONE APPLE PARK WAY,,CUPERTINO,CA,95014,CA
0000789019,MICROSOFT CORP,operating,7372,Services-Prepackaged Software,06 Technology,1,1,MSFT,Nasdaq,911144442,,,,Large accelerated filer,0630,WA,WA,425-882-8080,,ONE MICROSOFT WAY,,REDMOND,WA,98052-6399,WA,ONE MICROSOFT WAY,,REDMOND,WA,98052-6399,WA
0001045810,NVIDIA CORP,operating,3674,Semiconductors & Related Devices,04 Manufacturing,1,1,NVDA,Nasdaq,943177549,,,,Large accelerated filer,0126,DE,DE,408-486-2000,,2788 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CA,95051,CA,2788 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CA,95051,CA
0001652044,Alphabet Inc.,operating,7370,"Services-Computer Programming, Data Processing, Etc.",06 Technology,1,1,"GOOGL,GOOG","Nasdaq,Nasdaq",611767919,,,,Large accelerated filer,1231,DE,DE,650-253-0000,,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,CA,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,CA
0001018724,AMAZON COM INC,operating,5961,Retail-Catalog & Mail-Order Houses,07 Trade & Services,1,1,AMZN,Nasdaq,911646860,,,,Large accelerated filer,1231,DE,DE,2062661000,,410 TERRY AVENUE NORTH,,SEATTLE,WA,98109,WA,410 TERRY AVENUE NORTH,,SEATTLE,WA,98109,WA
0001326801,"Meta Platforms, Inc.",operating,7370,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,META,Nasdaq,201665019,,,,Large accelerated filer,1231,DE,DE,650-543-4800,,1 META WAY,,MENLO PARK,CA,94025,CA,1 META WAY,,MENLO PARK,CA,94025,CA
0001067983,BERKSHIRE HATHAWAY INC,operating,6331,"Fire, Marine & Casualty Insurance",02 Finance,1,1,"BRK-B,BRK-A","NYSE,NYSE",,,,,Large accelerated filer,1231,DE,DE,4023461400,,3555 FARNAM STREET,,OMAHA,NE,68131,NE,3555 FARNAM STREET,,OMAHA,NE,68131,NE
0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,other,3674,Semiconductors & Related Devices,04 Manufacturing,0,0,"TSM,TSMWF","NYSE,OTC",000000000,,,,Large accelerated filer,1231,F5,"Taiwan, Province of China",886-3-5636688,,"NO. 8, LI-HSIN ROAD 6",HSINCHU SCIENCE PARK,HSINCHU,F5,300-096,"Taiwan, Province of China","NO. 8, LI-HSIN ROAD 6",HSINCHU SCIENCE PARK,HSINCHU,F5,300-096,"Taiwan, Province of China"
0000059478,ELI LILLY & Co,operating,2834,Pharmaceutical Preparations,03 Life Sciences,1,1,LLY,NYSE,350470950,,,,Large accelerated filer,1231,IN,IN,3172762000,,LILLY CORPORATE CENTER,DROP CODE 1094,INDIANAPOLIS,IN,46285,IN,LILLY CORPORATE CTR,DROP CODE 1094,INDIANAPOLIS,IN,46285,IN
0001730168,Broadcom Inc.,operating,3674,Semiconductors & Related Devices,04 Manufacturing,0,1,AVGO,Nasdaq,352617337,,,,Large accelerated filer,1103,,,650-427-6000,,3421 HILLVIEW AVENUE,,PALO ALTO,CA,94304,CA,3421 HILLVIEW AVENUE,,PALO ALTO,CA,94304,CA
0001318605,"Tesla, Inc.",operating,3711,Motor Vehicles & Passenger Car Bodies,04 Manufacturing,0,1,TSLA,Nasdaq,912197729,,,,Large accelerated filer,1231,DE,DE,650-681-5000,,3500 DEER CREEK RD,,PALO ALTO,CA,94304,CA,3500 DEER CREEK RD,,PALO ALTO,CA,94304,CA
0000019617,JPMORGAN CHASE & CO,operating,6021,National Commercial Banks,02 Finance,1,1,"JPM,JPM-PD,JPM-PC,AMJB,JPM-PJ,JPM-PK,JPM-PL,JPM-PM","NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE",132624428,,,,Large accelerated filer,1231,DE,DE,2122706000,,383 MADISON AVENUE,,NEW YORK,NY,10017,NY,383 MADISON AVENUE,,NEW YORK,NY,10017,NY
0000353278,NOVO NORDISK A S,other,2834,Pharmaceutical Preparations,03 Life Sciences,1,0,"NVO,NONOF","NYSE,OTC",000000000,,,,Large accelerated filer,1231,,,4544448888,,NOVO ALLE DK 2880,,BAGSVAERD DENMARK,G7,00000,Denmark,NOVO ALLE DK 2880,,BAGSVAERD DENMARK,G7,00000,Denmark
0000104169,Walmart Inc.,operating,5331,Retail-Variety Stores,07 Trade & Services,1,1,WMT,NYSE,710415188,,,,Large accelerated filer,0131,DE,DE,5012734000,,702 SOUTHWEST 8TH STREET,,BENTONVILLE,AR,72716,AR,702 SOUTHWEST 8TH ST,,BENTONVILLE,AR,72716,AR
0000731766,UNITEDHEALTH GROUP INC,operating,6324,Hospital & Medical Service Plans,02 Finance,1,1,UNH,NYSE,411321939,,,,Large accelerated filer,1231,DE,DE,1-800-328-5979,,9900 BREN ROAD EAST,,MINNETONKA,MN,55343,MN,9900 BREN ROAD EAST,,MINNETONKA,MN,55343,MN
0000034088,EXXON MOBIL CORP,operating,2911,Petroleum Refining,01 Energy & Transportation,1,1,XOM,NYSE,135409005,,,,Large accelerated filer,1231,NJ,NJ,9729406000,,22777 SPRINGWOODS VILLAGE PARKWAY,,SPRING,TX,77389-1425,TX,22777 SPRINGWOODS VILLAGE PARKWAY,,SPRING,TX,77389-1425,TX
0001403161,VISA INC.,operating,7389,"Services-Business Services, NEC",07 Trade & Services,0,1,V,NYSE,260267673,,,,Large accelerated filer,0930,DE,DE,650-432-3200,,P.O. BOX 8999,,SAN FRANCISCO,CA,94128-8999,CA,P.O. BOX 8999,,SAN FRANCISCO,CA,94128-8999,CA
0000884394,SPDR S&P 500 ETF TRUST,other,,,,0,0,SPY,NYSE,000000000,,,,,0930,NY,NY,212-656-4440,,11 WALL STREET,PDR SERVICES LLC C/O NYSE EURONEXT,NEW YORK,NY,10005,NY,11 WALL STREET,PDR SERVICES LLC C/O NYSE EURONEXT,NEW YORK,NY,10005,NY
0001141391,Mastercard Inc,operating,7389,"Services-Business Services, NEC",07 Trade & Services,0,1,MA,NYSE,134172551,,,,Large accelerated filer,1231,DE,DE,9142492000,,2000 PURCHASE STREET,,PURCHASE,NY,10577,NY,2000 PURCHASE STREET,,PURCHASE,NY,10577,NY
0000080424,PROCTER & GAMBLE Co,operating,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",08 Industrial Applications and Services,0,1,PG,NYSE,310411980,,,,Large accelerated filer,0630,OH,OH,5139831100,,ONE PROCTER & GAMBLE PLAZA,,CINCINNATI,OH,45202,OH,ONE PROCTER & GAMBLE PLAZA,,CINCINNATI,OH,45202,OH
0000909832,COSTCO WHOLESALE CORP /NEW,operating,5331,Retail-Variety Stores,07 Trade & Services,0,1,COST,Nasdaq,911223280,,,,Large accelerated filer,0901,WA,WA,4253138100,,999 LAKE DRIVE,,ISSAQUAH,WA,98027,WA,999 LAKE DRIVE,,ISSAQUAH,WA,98027-,WA
0000200406,JOHNSON & JOHNSON,operating,2834,Pharmaceutical Preparations,03 Life Sciences,1,1,JNJ,NYSE,221024240,,,,Large accelerated filer,1229,NJ,NJ,732-524-2455,,ONE JOHNSON & JOHNSON PLZ,,NEW BRUNSWICK,NJ,08933,NJ,ONE JOHNSON & JOHNSON PLZ,,NEW BRUNSWICK,NJ,08933,NJ
0001341439,ORACLE CORP,operating,7372,Services-Prepackaged Software,06 Technology,1,1,ORCL,NYSE,542185193,,,,Large accelerated filer,0531,,,(737) 867-1000,,2300 ORACLE WAY,,AUSTIN,TX,78741,TX,2300 ORACLE WAY,,AUSTIN,TX,78741,TX
0000937966,ASML HOLDING NV,other,3559,"Special Industry Machinery, NEC",06 Technology,0,0,"ASML,ASMLF","Nasdaq,OTC",000000000,,,,Large accelerated filer,1231,,,31402683000,,P.O. BOX 324,,AH VELDHOVEN,P7,5500,Netherlands,DE RUN 6501,,DR VELDHOVEN,P7,5504,Netherlands
0000354950,"HOME DEPOT, INC.",operating,5211,Retail-Lumber & Other Building Materials Dealers,07 Trade & Services,1,1,HD,NYSE,953261426,,,,Large accelerated filer,0202,DE,DE,770-433-8211,,2455 PACES FERRY ROAD,,ATLANTA,GA,30339-4024,GA,2455 PACES FERRY ROAD,,ATLANTA,GA,30339-4024,GA
0001551152,AbbVie Inc.,operating,2834,Pharmaceutical Preparations,03 Life Sciences,1,1,ABBV,NYSE,320375147,,,,Large accelerated filer,1231,DE,DE,(847) 932-7900,,1 NORTH WAUKEGAN ROAD,,NORTH CHICAGO,IL,60064,IL,1 NORTH WAUKEGAN ROAD,,NORTH CHICAGO,IL,60064,IL
0000070858,BANK OF AMERICA CORP /DE/,operating,6021,National Commercial Banks,02 Finance,1,1,"BAC,BML-PH,BML-PG,BAC-PE,BML-PJ,BML-PL,BAC-PB,BAC-PK,BAC-PL,BAC-PM,BAC-PN,BAC-PO,BAC-PP,BAC-PQ,BAC-PS,BACRP,MER-PK","NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,OTC,NYSE",560906609,,,,Large accelerated filer,1231,DE,DE,7043868486,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,CHARLOTTE,NC,28255,NC,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,CHARLOTTE,NC,28255,NC
0000021344,COCA COLA CO,operating,2080,Beverages,04 Manufacturing,1,1,KO,NYSE,580628465,,,,Large accelerated filer,1231,DE,DE,404-676-2121,,ONE COCA COLA PLAZA,,ATLANTA,GA,30313,GA,ONE COCA COLA PLAZA,,ATLANTA,GA,30313,GA
0001065280,NETFLIX INC,operating,7841,Services-Video Tape Rental,07 Trade & Services,0,1,NFLX,Nasdaq,770467272,,,,Large accelerated filer,1231,DE,DE,408-540-3700,,121 ALBRIGHT WAY,,LOS GATOS,CA,95032-7606,CA,121 ALBRIGHT WAY,,LOS GATOS,CA,95032,CA
0000310158,"Merck & Co., Inc.",operating,2834,Pharmaceutical Preparations,03 Life Sciences,1,1,MRK,NYSE,221918501,,,,Large accelerated filer,1231,NJ,NJ,908-740-4000,,2000 GALLOPING HILL ROAD,,KENILWORTH,NJ,07033,NJ,2000 GALLOPING HILL ROAD,,KENILWORTH,NJ,07033,NJ
0000093410,CHEVRON CORP,operating,2911,Petroleum Refining,01 Energy & Transportation,1,1,CVX,NYSE,940890210,,,,Large accelerated filer,1231,DE,DE,925-842-1000,,5001 EXECUTIVE PARKWAY,SUITE 200,SAN RAMON,CA,94583,CA,5001 EXECUTIVE PARKWAY,SUITE 200,SAN RAMON,CA,94583,CA
0000901832,ASTRAZENECA PLC,other,2834,Pharmaceutical Preparations,03 Life Sciences,1,0,"AZN,AZNCF","Nasdaq,OTC",000000000,,,,Large accelerated filer,1231,X0,United Kingdom,011 44 20 7304 5000,,1 FRANCIS CRICK AVENUE,CAMBRIDGE BIOMEDICAL CAMPUS,CAMBRIDGE,X0,CB2 0AA,United Kingdom,1 FRANCIS CRICK AVENUE,CAMBRIDGE BIOMEDICAL CAMPUS,CAMBRIDGE,X0,CB2 0AA,United Kingdom
0001108524,"Salesforce, Inc.",operating,7372,Services-Prepackaged Software,06 Technology,1,1,CRM,NYSE,943320693,,,,Large accelerated filer,0131,DE,DE,415-901-7000,,SALESFORCE TOWER,415 MISSION STREET 3RD FL,SAN FRANCISCO,CA,94105,CA,SALESFORCE TOWER,415 MISSION STREET 3RD FL,SAN FRANCISCO,CA,94105,CA
0001000184,SAP SE,other,7372,Services-Prepackaged Software,06 Technology,1,0,"SAP,SAPGF","NYSE,OTC",000000000,,,,Large accelerated filer,1231,2M,Germany,0114962277,,DIETMAR-HOPP-ALLEE 16,,WALLDORF,2M,69190,Germany,DIETMAR-HOPP-ALLEE 16,,WALLDORF,2M,69190,Germany
0001094517,TOYOTA MOTOR CORP/,other,3711,Motor Vehicles & Passenger Car Bodies,04 Manufacturing,1,0,"TM,TOYOF","NYSE,OTC",000000000,,,,Large accelerated filer,0331,M0,Japan,81-565-28-2121,,TOYOTA MOTOR SALES USA INC,6565 HEADQUARTERS DRIVE W1-3A,PLANO,TX,75024,TX,1 TOYOTA CHO TOYOTA CITY,AICHI PREFECTURE 471-8571,JAPAN,M0,00000,Japan
0000796343,ADOBE INC.,operating,7372,Services-Prepackaged Software,06 Technology,1,1,ADBE,Nasdaq,770019522,,,,Large accelerated filer,1129,DE,DE,4085366000,,345 PARK AVENUE,,SAN JOSE,CA,95110-2704,CA,345 PARK AVE,,SAN JOSE,CA,95110-2704,CA
0000002488,ADVANCED MICRO DEVICES INC,operating,3674,Semiconductors & Related Devices,04 Manufacturing,1,1,AMD,Nasdaq,941692300,,,,Large accelerated filer,1228,DE,DE,(408) 749-4000,,2485 AUGUSTINE DRIVE,,SANTA CLARA,CA,95054,CA,2485 AUGUSTINE DRIVE,,SANTA CLARA,CA,95054,CA
0000077476,PEPSICO INC,operating,2080,Beverages,04 Manufacturing,1,1,PEP,Nasdaq,131584302,,,,Large accelerated filer,1228,NC,NC,9142532000,,700 ANDERSON HILL ROAD,,PURCHASE,NY,10577-1444,NY,700 ANDERSON HILL RD,,PURCHASE,NY,10577,NY
0001114448,NOVARTIS AG,other,2834,Pharmaceutical Preparations,03 Life Sciences,1,0,"NVS,NVSEF","NYSE,OTC",000000000,,,,Large accelerated filer,1231,V8,Switzerland,01141613241111,,LICHTSTRASSE 35,,BASEL,V8,CH 4056,Switzerland,LICHTSTRASSE 35,,BASEL,V8,CH 4056,Switzerland
0000097745,THERMO FISHER SCIENTIFIC INC.,operating,3829,"Measuring & Controlling Devices, NEC",08 Industrial Applications and Services,1,1,TMO,NYSE,042209186,,,,Large accelerated filer,1231,DE,DE,7816221000,,168 THIRD AVENUE,,WALTHAM,MA,02451,MA,168 THIRD AVENUE,,WALTHAM,MA,02451,MA
0001283699,"T-Mobile US, Inc.",operating,4812,Radiotelephone Communications,06 Technology,0,1,TMUS,Nasdaq,200836269,,,,Large accelerated filer,1231,DE,DE,800-318-9270,,12920 SE 38TH STREET,,BELLEVUE,WA,98006,WA,12920 SE 38TH STREET,,BELLEVUE,WA,98006,WA
0001306965,Shell plc,other,1311,Crude Petroleum & Natural Gas,01 Energy & Transportation,1,0,"SHEL,RYDAF","NYSE,OTC",000000000,,,,Large accelerated filer,1231,X0,United Kingdom,044-20-7934-1234,,SHELL CENTRE,2 YORK ROAD,LONDON,X0,SE1 7NA,United Kingdom,SHELL CENTRE,2 YORK ROAD,LONDON,X0,SE1 7NA,United Kingdom
