Type,Parser,Attachments
1,ignore,
3,xml,
4,xml,
5,xml,
25,ignore,
26,ignore,
144,xml,
425,ignore,
487,ignore,
497,ignore,
10-12B,basic_textual_parser,
10-12G,basic_textual_parser,
10-C,deprecated no use looking,
10-D,basic_textual_parser,
10-K,basic_textual_parser,
10-K405,basic_textual_parser,
10KSB,basic_textual_parser,
10-KSB,basic_textual_parser,
10KSB40,basic_textual_parser,
10-KT,basic_textual_parser,
10KT405,basic_textual_parser,
10-M,ignore,
10-Q,basic_textual_parser,
10QSB,basic_textual_parser,
10-QSB,basic_textual_parser,
10-QT,basic_textual_parser,
10SB12B,basic_textual_parser,
10SB12G,basic_textual_parser,
11-K,ignore,
11-KT,ignore,
12G3-2B,ignore,
12G32BR,ignore,
13FCONP,ignore,
13F-E,ignore,
13F-HR,xml,TRUE
13F-NT,xml,
15-12B,ignore,
15-12G,ignore,
15-15D,ignore,
15F-12B,basic_textual_parser,
15F-12G,basic_textual_parser,
15F-15D,basic_textual_parser,
18-12B,ignore,
18-K,ignore,
19B-4,ignore,
19B-4E,ignore,
1-A,xml,
1-A POS,xml,
1-A-W,ignore,
1-E,ignore,
1-E AD,ignore,
1-K,xml,part ii-basic_textual_parser
1-SA,basic_textual_parser,
1-U,basic_textual_parser,
1-Z,xml,
1-Z-W,,
20-F,,
20FR12B,,
20FR12G,,
24F-1,,
24F-2EL,,
24F-2NT,,
24F-2TM,,
253G1,,
253G2,,
253G3,,
253G4,,
25-NSE,,
2-A,,
2-AF,,
2-E,,
305B2,,
34-12H,,
35-APP,,
35-CERT,,
39-304D,,
39-310B,,
40-17F1,,
40-17F2,,
40-17G,,
40-17GCS,,
40-202A,,
40-203A,,
40-205E,,
40-206A,,
40-24B2,,
40-33,,
40-6B,,
40-6C,,
40-8B25,,
40-8F-2,,
40-8F-A,,
40-8F-B,,
40-8FC,,
40-8F-L,,
40-8F-M,,
40-APP,,
40-F,,
40FR12B,,
40FR12G,,
40-OIP,,
40-RPT,,
424A,,
424B1,,
424B2,,
424B3,,
424B4,,
424B5,,
424B7,,
424B8,,
424H,,
424I,,
485A24E,,
485A24F,,
485APOS,,
485B24E,,
485B24F,,
485BPOS,,
485BXT,,
485BXTF,,
486A24E,,
486APOS,,
486B24E,,
486BPOS,,
486BXT,,
497AD,,
497H2,,
497J,,
497K,,
497K1,,
497K2,,
497K3A,,
497K3B,,
497VPI,,
497VPSUB,,
497VPU,,
6B NTC,,
6B ORDR,,
6-K,,
8-A12B,,
8A12BEF,,
8A12BT,,
8-A12G,,
8-B12B,,
8-B12G,,
8F-2 NTC,,
8F-2 ORDR,,
8-K,,
8-K12B,,
8-K12G3,,
8-K15D5,,
8-M,,
9-M,,
ABS-15G,,
ABS-EE,,
ADB,,
ADN-MTL,,
ADVCO,,
ADV-E,,
ADV-H-C,,
ADV-H-T,,
ADV-NR,,
ADVW,,
AFDB,,
ANNLRPT,,
APP NTC,,
APP ORDR,,
APP WD,,
APP WDG,,
ARS,,
ATS-N,,
ATS-N/CA,,
ATS-N/MA,,
ATS-N/OFA,,
ATS-N/UA,,
ATS-N-C,,
ATS-N-W,,
AW,,
AW WD,,
BDCO,,
BW-2,,
BW-3,,
C,,
CANCELLATION-MA,,
C-AR,,
C-AR-W,,
CB,,
CERT,,
CERTAMX,,
CERTARCA,,
CERTBATS,,
CERTBSE,,
CERTCBO,,
CERTCSE,,
CERTNAS,,
CERTNYS,,
CERTPAC,,
CERTPBS,,
CFPORTAL,,
CFPORTAL-W,,
CORRESP,,
CT ORDER,,
C-TR,,
C-TR-W,,
C-U,,
C-U-W,,
C-W,,
D,,
DEF 14A,,
DEF 14C,,
DEF13E3,,
DEFA14A,,
DEFA14C,,
DEFC14A,,
DEFC14C,,
DEFM14A,,
DEFM14C,,
DEFN14A,,
DEF-OC,,
DEFR14A,,
DEFR14C,,
DEFS14A,,
DEFS14C,,
DEL AM,,
DFAN14A,,
DFRN14A,,
DOS,,
DOSLTR,,
DRS,,
DRSLTR,,
DSTRBRPT,,
EBRD,,
EFFECT,,
F-1,,
F-10,,
F-10EF,,
F-10POS,,
F-1MEF,,
F-2,,
F-3,,
F-3ASR,,
F-3D,,
F-3DPOS,,
F-3MEF,,
F-4,,
F-4 POS,,
F-4EF,,
F-4MEF,,
F-6,,
F-6 POS,,
F-6EF,,
F-7,,
F-7 POS,,
F-8,,
F-8 POS,,
F-80,,
F-80POS,,
F-9,,
F-9 POS,,
F-9EF,,
F-N,,
FOCUSN,,
FWP,,
F-X,,
G-405,,
G-405N,,
G-FIN,,
G-FINW,,
IADB,,
ID-NEWCIK,,
IFC,,
IRANNOTICE,,
MA,,
MA-A,,
MA-I,,
MA-W,,
MSD,,
MSDCO,,
MSDW,,
N-1,,
N-14,,
N-14 8C,,
N-14AE,,
N14AE24,,
N14EL24,,
N-14MEF,,
N-18F1,,
N-1A,,
N-1A EL,,
N-2,,
N-2 POSASR,,
N-23C-1,,
N-23C-2,,
N-23C3A,,
N-23C3B,,
N-23C3C,,
N-27D-1,,
N-2ASR,,
N-2MEF,,
N-3,,
N-3 EL,,
N-30B-2,,
N-30D,,
N-4,,
N-4 EL,,
N-5,,
N-54A,,
N-54C,,
N-6,,
N-6F,,
N-8A,,
N-8B-2,,
N-8B-4,,
N-8F,,
N-8F NTC,,
N-8F ORDR,,
N-CEN,,
N-CR,,
N-CSR,,
N-CSRS,,
N-MFP,,
N-MFP1,,
N-MFP2,,
NO ACT,,
NPORT-EX,,
NPORT-P,,
N-PX,,
N-Q,,
NRSRO-CE,,
NRSRO-UPD,,
NSAR-A,,
NSAR-AT,,
NSAR-B,,
NSAR-BT,,
NSAR-U,,
NT 10-D,,
NT 10-K,,
NT 10-Q,,
NT 11-K,,
NT 15D2,,
NT 20-F,,
NT N-CEN,,
NT N-MFP,,
NT N-MFP1,,
NT N-MFP2,,
NT NPORT-EX,,
NT NPORT-P,,
NTFNCEN,,
NTFNCSR,,
NTFNSAR,,
NTN 10D,,
NTN 10K,,
NTN 10Q,,
NTN 11K,,
NTN 20F,,
NTN15D2,,
NT-NCEN,,
NT-NCSR,,
NT-NSAR,,
N-VP,,
N-VPFS,,
OIP NTC,,
OIP ORDR,,
POS 8C,,
POS AM,,
POS AMC,,
POS AMI,,
POS EX,,
POS462B,,
POS462C,,
POSASR,,
PRE 14A,,
PRE 14C,,
PRE13E3,,
PREA14A,,
PREA14C,,
PREC14A,,
PREC14C,,
PREM14A,,
PREM14C,,
PREN14A,,
PRER14A,,
PRER14C,,
PRES14A,,
PRES14C,,
PRRN14A,,
PX14A6G,,
PX14A6N,,
QRTLYRPT,,
QUALIF,,
REGDEX,,
REG-NR,,
REVOCATION-MA,,
REVOKED,,
RW,,
RW WD,,
S-1,,
S-11,,
S-11MEF,,
S-1MEF,,
S-2,,
S-20,,
S-2MEF,,
S-3,,
S-3ASR,,
S-3D,,
S-3DPOS,,
S-3MEF,,
S-4,,
S-4 POS,,
S-4EF,,
S-4MEF,,
S-6,,
S-6EL24,,
S-8,,
S-8 POS,,
S-B,,
SB-1,,
SB-1MEF,,
SB-2,,
SB-2MEF,,
S-BMEF,,
SBSE,,
SBSE-A,,
SBSE-BD,,
SBSE-C,,
SC 13D,,
SC 13E1,,
SC 13E3,,
SC 13E4,,
SC 13G,,
SC 14D1,,
SC 14D9,,
SC 14F1,,
SC 14N,,
SC TO-C,,
SC TO-I,,
SC TO-T,,
SC13E4F,,
SC14D1F,,
SC14D9C,,
SC14D9F,,
SCHEDULE 13D,,
SCHEDULE 13G,,
SD,,
SDR,,
SE,,
SEC ACTION,,
SEC STAFF ACTION,,
SEC STAFF LETTER,,
SF-1,,
SF-1MEF,,
SF-3,,
SL,,
SP 15D2,,
SPDSCL,,
STOP ORDER,,
SUPPL,,
T-3,,
T-6,,
TA-1,,
TA-2,,
TACO,,
TA-W,,
TTW,,
U-1,,
U-12-IA,,
U-12-IB,,
U-13-60,,
U-13E-1,,
U-33-S,,
U-3A-2,,
U-3A3-1,,
U-57,,
U5A,,
U5B,,
U5S,,
U-6B-2,,
U-7D,,
U-9C-3,,
UNDER,,
UPLOAD,,
