name,cik,start_date,business_city,business_stateOrCountry,business_stateOrCountryDescription,business_street1,business_street2,business_zipCode,category,description,ein,entityType,exchanges,fiscalYearEnd,flags,insiderTransactionForIssuerExists,insiderTransactionForOwnerExists,mailing_city,mailing_stateOrCountry,mailing_stateOrCountryDescription,mailing_street1,mailing_street2,mailing_zipCode,ownerOrg,phone,sic,sicDescription,stateOfIncorporation,stateOfIncorporationDescription,tickers
AAR CORP,0000001750,1994-01-13,WOOD DALE,IL,IL,1100 N WOOD DALE RD,,60191,Large accelerated filer,,362334820,operating,['NYSE'],0531,,1,0,WOOD DALE,IL,IL,1100 N WOOD DALE RD,,60191,04 Manufacturing,6302272000,3720,Aircraft & Parts,DE,DE,['AIR']
ABBOTT LABORATORIES,0000001800,1994-02-14,ABBOTT PARK,IL,IL,100 ABBOTT PARK ROAD,,60064-3500,Large accelerated filer,,360698440,operating,['NYSE'],1231,,1,1,ABBOTT PARK,IL,IL,100 ABBOTT PARK ROAD,,60064-3500,03 Life Sciences,2246676100,2834,Pharmaceutical Preparations,IL,IL,['ABT']
ENERPAC TOOL GROUP CORP,0000006955,1994-01-13,MILWAUKEE,WI,WI,"648 N PLANKINTON AVE, 4TH FLOOR",,53203-2917,Large accelerated filer,,390168610,operating,['NYSE'],0831,,1,0,MILWAUKEE,WI,WI,"648 N PLANKINTON AVE, 4TH FLOOR",,53203-2917,06 Technology,262-293-1500,3590,Misc Industrial & Commercial Machinery & Equipment,WI,WI,['EPAC']
Archer-Daniels-Midland Co,0000007084,1994-08-31,CHICAGO,IL,IL,77 W. WACKER DR.,,60601,Large accelerated filer,,410129150,operating,['NYSE'],1231,,1,1,CHICAGO,IL,IL,77 W. WACKER DR.,,60601,04 Manufacturing,312-634-8233,2070,Fats & Oils,DE,DE,['ADM']
AMPCO PITTSBURGH CORP,0000006176,1994-03-15,CARNEGIE,PA,PA,726 BELL AVENUE,SUITE 301,15106,Non-accelerated filer<br>Smaller reporting company,,251117717,operating,"['NYSE', 'NYSE']",1231,,1,0,CARNEGIE,PA,PA,726 BELL AVENUE,SUITE 301,15106,06 Technology,412-456-4400,3561,Pumps & Pumping Equipment,PA,PA,"['AP', 'AP-WT']"
WORLDS INC,0000001961,1996-12-26,BROOKLINE,MA,MA,11 ROYAL ROAD,,02445,Non-accelerated filer<br>Smaller reporting company,,221848316,operating,['OTC'],1231,,1,1,BROOKLINE,MA,MA,11 ROYAL ROAD,,02445,06 Technology,617-725-8900,7372,Services-Prepackaged Software,DE,DE,['WDDD']
"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,1994-08-12,NEW YORK,NY,NY,1271 AVE OF THE AMERICAS,FL 37,10020-1304,Large accelerated filer,,132592361,operating,['NYSE'],1231,,1,1,NEW YORK,NY,NY,1271 AVE OF THE AMERICAS,FL 37,10020-1304,02 Finance,2127707000,6331,"Fire, Marine & Casualty Insurance",DE,DE,['AIG']
ANALOG DEVICES INC,0000006281,1994-02-07,WILMINGTON,MA,MA,ONE ANALOG WAY,,01887,Large accelerated filer,,042348234,operating,['Nasdaq'],1101,,1,0,WILMINGTON,MA,MA,ONE ANALOG WAY,,01887,04 Manufacturing,7813294700,3674,Semiconductors & Related Devices,MA,MA,['ADI']
ACME UNITED CORP,0000002098,1994-02-10,SHELTON,CT,CT,1 WATERVIEW DRIVE,,06484,Accelerated filer<br>Smaller reporting company,,060236700,operating,['NYSE'],1231,,1,0,SHELTON,CT,CT,1 WATERVIEW DRIVE,,06484,04 Manufacturing,203-254-6060,3420,"Cutlery, Handtools & General Hardware",CT,CT,['ACU']
BK Technologies Corp,0000002186,1995-11-15,WEST MELBOURNE,FL,FL,7100 TECHNOLOGY DRIVE,,32904,Non-accelerated filer<br>Smaller reporting company,,593486297,operating,['NYSE'],1231,,1,1,WEST MELBOURNE,FL,FL,7100 TECHNOLOGY DRIVE,,32904,04 Manufacturing,321-984-1414,3663,Radio & Tv Broadcasting & Communications Equipment,NV,NV,['BKTI']
"ADAMS DIVERSIFIED EQUITY FUND, INC.",0000002230,1996-01-26,BALTIMORE,MD,MD,500 EAST PRATT STREET,SUITE 1300,21202,,,134912740,other,['NYSE'],1231,,1,0,BALTIMORE,MD,MD,500 EAST PRATT STREET,SUITE 1300,21202,,4107525900,,,MD,MD,['ADX']
Avery Dennison Corp,0000008818,1994-05-19,MENTOR,OH,OH,8080 NORTON PARKWAY,,44060,Large accelerated filer,,951492269,operating,['NYSE'],1231,,1,0,MENTOR,OH,OH,8080 NORTON PARKWAY,,44060,04 Manufacturing,440-534-6000,2670,Converted Paper & Paperboard Prods (No Contaners/Boxes),DE,DE,['AVY']
ADVANCED MICRO DEVICES INC,0000002488,1994-01-27,SANTA CLARA,CA,CA,2485 AUGUSTINE DRIVE,,95054,Large accelerated filer,,941692300,operating,['Nasdaq'],1227,,1,1,SANTA CLARA,CA,CA,2485 AUGUSTINE DRIVE,,95054,04 Manufacturing,(408) 749-4000,3674,Semiconductors & Related Devices,DE,DE,['AMD']
"ENTERGY ARKANSAS, LLC",0000007323,1994-01-26,LITTLE ROCK,AR,AR,425 WEST CAPITOL AVE,,72201,,,831918668,operating,['NYSE'],1231,,0,0,LITTLE ROCK,AR,AR,P. O. BOX 551,,72203,01 Energy & Transportation,501-377-4000,4911,Electric Services,TX,TX,['EAI']
U-Haul Holding Co /NV/,0000004457,1994-10-13,RENO,NV,NV,5555 KIETZKE LANE STE 100,,89511,Large accelerated filer,,880106815,operating,"['NYSE', 'NYSE']",0331,,1,0,RENO,NV,NV,5555 KIETZKE LANE,SUITE 100,89511,07 Trade & Services,7756886300,7510,Services-Auto Rental & Leasing (No Drivers),NV,NV,"['UHAL', 'UHAL-B']"
AgEagle Aerial Systems Inc.,0000008504,1999-08-30,WICHITA,KS,KS,8201 E. 34TH CIR N,,67226,Non-accelerated filer<br>Smaller reporting company,,880422242,operating,['NYSE'],1231,,1,1,WICHITA,KS,KS,8201 E. 34TH CIR N,,67226,04 Manufacturing,(620) 325-6363,3721,Aircraft,NV,NV,['UAVS']
ARTS WAY MANUFACTURING CO INC,0000007623,1996-01-24,ARMSTRONG,IA,IA,P O BOX 288,,50514,Non-accelerated filer<br>Smaller reporting company,,420920725,operating,['Nasdaq'],1130,,1,0,ARMSTRONG,IA,IA,P O BOX 288,,50514,06 Technology,7128643131,3523,Farm Machinery & Equipment,DE,DE,['ARTW']
AGNICO EAGLE MINES LTD,0000002809,1995-02-09,TORONTO,A6,"Ontario, Canada",145 KING STREET EAST,SUITE 400,M5C 2Y7,Large Accelerated,,000000000,other,['NYSE'],1231,,0,0,TORONTO,A6,"Ontario, Canada",145 KING STREET EAST,SUITE 400,M5C 2Y7,01 Energy & Transportation,4169471212,1040,Gold and Silver Ores,A6,"Ontario, Canada",['AEM']
"Air Products & Chemicals, Inc.",0000002969,1994-03-15,ALLENTOWN,PA,PA,1940 AIR PRODUCTS BLVD.,,18106-5500,Large accelerated filer,,231274455,operating,['NYSE'],0930,,1,1,ALLENTOWN,PA,PA,1940 AIR PRODUCTS BLVD.,,18106-5500,08 Industrial Applications and Services,6104814911,2810,Industrial Inorganic Chemicals,DE,DE,['APD']
Unum Group,0000005513,1995-08-30,CHATTANOOGA,TN,TN,1 FOUNTAIN SQUARE,,37402,Large accelerated filer,,621598430,operating,"['NYSE', 'NYSE']",1231,,1,0,CHATTANOOGA,TN,TN,1 FOUNTAIN SQUARE,,37402,02 Finance,423-294-1011,6321,Accident & Health Insurance,DE,DE,"['UNM', 'UNMA']"
American Airlines Group Inc.,0000006201,1994-05-16,FORT WORTH,TX,TX,1 SKYVIEW DRIVE,,76155,Large accelerated filer,,751825172,operating,['Nasdaq'],1231,,1,1,FORT WORTH,TX,TX,1 SKYVIEW DRIVE,,76155,01 Energy & Transportation,6822789000,4512,"Air Transportation, Scheduled",DE,DE,['AAL']
AMREP CORP.,0000006207,1994-02-08,HAVERTOWN,PA,PA,850 WEST CHESTER PIKE,SUITE 205,19083,Non-accelerated filer<br>Smaller reporting company,,590936128,operating,['NYSE'],0430,,1,0,HAVERTOWN,PA,PA,850 WEST CHESTER PIKE,SUITE 205,19083,05 Real Estate & Construction,610-487-0905,6552,Land Subdividers & Developers (No Cemeteries),OK,OK,['AXR']
ARMSTRONG WORLD INDUSTRIES INC,0000007431,1994-02-08,LANCASTER,PA,PA,2500 COLUMBIA AVE,,17603,Large accelerated filer,,230366390,operating,['NYSE'],1231,,1,0,LANCASTER,PA,PA,2500 COLUMBIA AVE,,17603,08 Industrial Applications and Services,7173970611,3089,"Plastics Products, NEC",PA,PA,['AWI']
CECO ENVIRONMENTAL CORP,0000003197,1995-08-14,ADDISON,TX,TX,5080 SPECTRUM DRIVE,SUITE 800E,75001,Large accelerated filer,,132566064,operating,['Nasdaq'],1231,,1,0,ADDISON,TX,TX,5080 SPECTRUM DRIVE,SUITE 800E,75001,06 Technology,(513) 458-2600,3564,Industrial & Commercial Fans & Blowers & Air Purifing Equip,DE,DE,['CECO']
