date,source_name,source_cik,target_name,target_cik
20171018,BOTHA ROELOF,1222287,"MongoDB, Inc.",1441816
20171025,BOTHA ROELOF,1222287,"MongoDB, Inc.",1441816
20180604,BOTHA ROELOF,1222287,"Square, Inc.",1512673
20180919,BOTHA ROELOF,1222287,"Eventbrite, Inc.",1475115
20180925,BOTHA ROELOF,1222287,"Eventbrite, Inc.",1475115
20181119,BOTHA ROELOF,1222287,"Eventbrite, Inc.",1475115
20181120,BOTHA ROELOF,1222287,"Square, Inc.",1512673
20181206,BOTHA ROELOF,1222287,"Square, Inc.",1512673
20190304,BOTHA ROELOF,1222287,"Square, Inc.",1512673
20190403,BOTHA ROELOF,1222287,"MongoDB, Inc.",1441816
20190611,BOTHA ROELOF,1222287,"Eventbrite, Inc.",1475115
20190612,BOTHA ROELOF,1222287,"MongoDB, Inc.",1441816
20190624,BOTHA ROELOF,1222287,"MongoDB, Inc.",1441816
20190813,BOTHA ROELOF,1222287,"Natera, Inc.",1604821
20190822,BOTHA ROELOF,1222287,"Eventbrite, Inc.",1475115
20191113,BOTHA ROELOF,1222287,"Eventbrite, Inc.",1475115
20191119,BOTHA ROELOF,1222287,"Natera, Inc.",1604821
20191126,BOTHA ROELOF,1222287,"Natera, Inc.",1604821
20200302,BOTHA ROELOF,1222287,"Natera, Inc.",1604821
20200305,BOTHA ROELOF,1222287,"Square, Inc.",1512673
20200518,BOTHA ROELOF,1222287,"Natera, Inc.",1604821
20200519,BOTHA ROELOF,1222287,"Square, Inc.",1512673
20200612,BOTHA ROELOF,1222287,"MongoDB, Inc.",1441816
20200917,BOTHA ROELOF,1222287,Unity Software Inc.,1810806
20200917,BOTHA ROELOF,1222287,Unity Software Inc.,1810806
20200922,BOTHA ROELOF,1222287,Unity Software Inc.,1810806
20201211,THIEL PETER,1211060,AbCellera Biologics Inc.,1703057
20201217,THIEL PETER,1211060,AbCellera Biologics Inc.,1703057
20210219,THIEL PETER,1211060,Palantir Technologies Inc.,1321655
20210315,Hoffman Reid,1519339,Reinvent Technology Partners Y,1828108
20210429,Musk Elon,1494730,"Endeavor Group Holdings, Inc.",1766363
20210505,Musk Elon,1494730,"Endeavor Group Holdings, Inc.",1766363
20210507,THIEL PETER,1211060,Palantir Technologies Inc.,1321655
20210513,THIEL PETER,1211060,Palantir Technologies Inc.,1321655
20210630,THIEL PETER,1211060,Palantir Technologies Inc.,1321655
20210803,Hoffman Reid,1519339,Hippo Holdings Inc.,1828105
20210812,Hoffman Reid,1519339,"Joby Aviation, Inc.",1819848
20210817,THIEL PETER,1211060,Palantir Technologies Inc.,1321655
20210920,THIEL PETER,1211060,BlackSky Technology Inc.,1753539
20210920,Mithril LP,1552273,BlackSky Technology Inc.,1753539
20210920,MITHRIL II LP,1669609,BlackSky Technology Inc.,1753539
20210920,Mithril GP LP,1881891,BlackSky Technology Inc.,1753539
20210920,Royan Ajay,1875614,BlackSky Technology Inc.,1753539
20210920,Mithril II UGP LLC,1878230,BlackSky Technology Inc.,1753539
20210920,Mithril II GP LP,1878232,BlackSky Technology Inc.,1753539
20211105,Hoffman Reid,1519339,"Aurora Innovation, Inc.",1828108
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211110,Musk Elon,1494730,"Tesla, Inc.",1318605
20211112,Musk Elon,1494730,"Tesla, Inc.",1318605
20211112,Musk Elon,1494730,"Tesla, Inc.",1318605
20211112,Sacks David O,1891801,"Bird Global, Inc.",1861449
20211112,Musk Elon,1494730,"Tesla, Inc.",1318605
20211115,Musk Elon,1494730,"Tesla, Inc.",1318605
20211115,Musk Elon,1494730,"Tesla, Inc.",1318605
20211116,Musk Elon,1494730,"Tesla, Inc.",1318605
20211116,Musk Elon,1494730,"Tesla, Inc.",1318605
20211123,Musk Elon,1494730,"Tesla, Inc.",1318605
20211123,Musk Elon,1494730,"Tesla, Inc.",1318605
20211123,Musk Elon,1494730,"Tesla, Inc.",1318605
20211123,Musk Elon,1494730,"Tesla, Inc.",1318605
20211202,Musk Elon,1494730,"Tesla, Inc.",1318605
20211202,Musk Elon,1494730,"Tesla, Inc.",1318605
20211209,Musk Elon,1494730,"Tesla, Inc.",1318605
20211209,Musk Elon,1494730,"Tesla, Inc.",1318605
20211213,Musk Elon,1494730,"Tesla, Inc.",1318605
20211213,Musk Elon,1494730,"Tesla, Inc.",1318605
20211216,Musk Elon,1494730,"Tesla, Inc.",1318605
20211216,Musk Elon,1494730,"Tesla, Inc.",1318605
20211221,Musk Elon,1494730,"Tesla, Inc.",1318605
20211221,Musk Elon,1494730,"Tesla, Inc.",1318605
20211222,Musk Elon,1494730,"Tesla, Inc.",1318605
20211222,Musk Elon,1494730,"Tesla, Inc.",1318605
20211228,Musk Elon,1494730,"Tesla, Inc.",1318605
20211228,Musk Elon,1494730,"Tesla, Inc.",1318605
20220214,Musk Elon,1494730,"Tesla, Inc.",1318605
20220315,Hoffman Reid,1519339,"Joby Aviation, Inc.",1819848
20220330,THIEL PETER,1211060,"Adagio Therapeutics, Inc.",1832038
20220330,MITHRIL II LP,1669609,"Adagio Therapeutics, Inc.",1832038
20220330,Mithril II GP LP,1878232,"Adagio Therapeutics, Inc.",1832038
20220330,Mithril II UGP LLC,1878230,"Adagio Therapeutics, Inc.",1832038
20220406,Hoffman Reid,1519339,"Joby Aviation, Inc.",1819848
20220428,Musk Elon,1494730,"Tesla, Inc.",1318605
20220428,Musk Elon,1494730,"Tesla, Inc.",1318605
20220428,Musk Elon,1494730,"Tesla, Inc.",1318605
20220428,Musk Elon,1494730,"Tesla, Inc.",1318605
20220428,Musk Elon,1494730,"Tesla, Inc.",1318605
20220429,Musk Elon,1494730,"Tesla, Inc.",1318605
20220429,Musk Elon,1494730,"Tesla, Inc.",1318605
20220429,Musk Elon,1494730,"Tesla, Inc.",1318605
