event_id,period,buys,sells,sentiment
0000003499-24-000033,-8,0,0,-0.45714278612246023
0000003499-24-000033,-7,0,0,-0.45714278612246023
0000003499-24-000033,-6,0,0,-0.45714278612246023
0000003499-24-000033,-5,0,0,-0.45714278612246023
0000003499-24-000033,-4,0,0,-0.45714278612246023
0000003499-24-000033,-3,0,0,-0.45714278612246023
0000003499-24-000033,-2,0,0,-0.45714278612246023
0000003499-24-000033,-1,0,0,-0.45714278612246023
0000003499-24-000033,0,0,0,-0.45714278612246023
0000003499-24-000033,1,0,0,-0.45714278612246023
0000003499-24-000033,2,0,0,-0.45714278612246023
0000003499-24-000033,3,0,0,-0.45714278612246023
0000003499-24-000033,4,0,0,-0.45714278612246023
0000003499-24-000033,5,0,0,-0.45714278612246023
0000003499-24-000033,6,0,0,-0.45714278612246023
0000003499-24-000033,7,0,0,-0.45714278612246023
0000003499-24-000033,8,0,0,-0.45714278612246023
0000003499-24-000043,-8,0,0,0.0
0000003499-24-000043,-7,0,0,0.0
0000003499-24-000043,-6,0,0,0.0
0000003499-24-000043,-5,0,0,0.0
0000003499-24-000043,-4,0,0,0.0
0000003499-24-000043,-3,0,0,0.0
0000003499-24-000043,-2,0,0,0.0
0000003499-24-000043,-1,0,0,0.0
0000003499-24-000043,0,0,0,0.0
0000003499-24-000043,1,0,0,0.0
0000003499-24-000043,2,0,0,0.0
0000003499-24-000043,3,0,0,0.0
0000003499-24-000043,4,0,0,0.0
0000003499-24-000043,5,0,0,0.0
0000003499-24-000043,6,0,0,0.0
0000003499-24-000043,7,0,0,0.0
0000003499-24-000043,8,0,0,0.0
0000004127-24-000004,-8,0,0,-0.11983470975343215
0000004127-24-000004,-7,0,0,-0.11983470975343215
0000004127-24-000004,-6,0,0,-0.11983470975343215
0000004127-24-000004,-5,0,0,-0.11983470975343215
0000004127-24-000004,-4,0,0,-0.11983470975343215
0000004127-24-000004,-3,0,0,-0.11983470975343215
0000004127-24-000004,-2,0,0,-0.11983470975343215
0000004127-24-000004,-1,0,0,-0.11983470975343215
0000004127-24-000004,0,0,0,-0.11983470975343215
0000004127-24-000004,1,2,0,-0.11983470975343215
0000004127-24-000004,2,1,0,-0.11983470975343215
0000004127-24-000004,3,0,0,-0.11983470975343215
0000004127-24-000004,4,0,0,-0.11983470975343215
0000004127-24-000004,5,0,0,-0.11983470975343215
0000004127-24-000004,6,0,0,-0.11983470975343215
0000004127-24-000004,7,0,0,-0.11983470975343215
0000004127-24-000004,8,0,0,-0.11983470975343215
0000004127-24-000068,-8,0,0,-0.14999999875
0000004127-24-000068,-7,0,1,-0.14999999875
0000004127-24-000068,-6,0,0,-0.14999999875
0000004127-24-000068,-5,0,0,-0.14999999875
0000004127-24-000068,-4,0,0,-0.14999999875
0000004127-24-000068,-3,0,1,-0.14999999875
0000004127-24-000068,-2,0,1,-0.14999999875
0000004127-24-000068,-1,0,0,-0.14999999875
0000004127-24-000068,0,0,0,-0.14999999875
0000004127-24-000068,1,0,0,-0.14999999875
0000004127-24-000068,2,0,1,-0.14999999875
0000004127-24-000068,3,0,0,-0.14999999875
0000004127-24-000068,4,0,0,-0.14999999875
0000004127-24-000068,5,0,0,-0.14999999875
0000004127-24-000068,6,0,1,-0.14999999875
0000004127-24-000068,7,0,0,-0.14999999875
0000004127-24-000068,8,0,0,-0.14999999875
0000004904-24-000003,-8,0,0,-0.6470588044982705
0000004904-24-000003,-7,0,0,-0.6470588044982705
0000004904-24-000003,-6,0,0,-0.6470588044982705
0000004904-24-000003,-5,0,0,-0.6470588044982705
0000004904-24-000003,-4,0,0,-0.6470588044982705
0000004904-24-000003,-3,0,0,-0.6470588044982705
0000004904-24-000003,-2,0,0,-0.6470588044982705
0000004904-24-000003,-1,0,0,-0.6470588044982705
0000004904-24-000003,0,0,0,-0.6470588044982705
0000004904-24-000003,1,0,0,-0.6470588044982705
0000004904-24-000003,2,0,0,-0.6470588044982705
0000004904-24-000003,3,0,0,-0.6470588044982705
0000004904-24-000003,4,0,0,-0.6470588044982705
0000004904-24-000003,5,0,0,-0.6470588044982705
0000004904-24-000003,6,0,0,-0.6470588044982705
0000004904-24-000003,7,0,0,-0.6470588044982705
0000004904-24-000003,8,0,0,-0.6470588044982705
0000004904-24-000049,-8,0,0,0.0
0000004904-24-000049,-7,0,0,0.0
0000004904-24-000049,-6,0,0,0.0
0000004904-24-000049,-5,0,0,0.0
0000004904-24-000049,-4,0,0,0.0
0000004904-24-000049,-3,0,0,0.0
0000004904-24-000049,-2,0,0,0.0
0000004904-24-000049,-1,0,0,0.0
0000004904-24-000049,0,0,0,0.0
0000004904-24-000049,1,0,0,0.0
0000004904-24-000049,2,0,0,0.0
0000004904-24-000049,3,0,0,0.0
0000004904-24-000049,4,0,0,0.0
0000004904-24-000049,5,0,0,0.0
0000004904-24-000049,6,0,0,0.0
0000004904-24-000049,7,0,0,0.0
0000004904-24-000049,8,0,0,0.0
0000004977-24-000138,-8,0,0,-0.31080533838647406
0000004977-24-000138,-7,0,0,-0.31080533838647406
0000004977-24-000138,-6,0,1,-0.31080533838647406
0000004977-24-000138,-5,0,0,-0.31080533838647406
0000004977-24-000138,-4,0,0,-0.31080533838647406
0000004977-24-000138,-3,0,0,-0.31080533838647406
0000004977-24-000138,-2,0,0,-0.31080533838647406
0000004977-24-000138,-1,0,0,-0.31080533838647406
0000004977-24-000138,0,0,1,-0.31080533838647406
0000004977-24-000138,1,0,2,-0.31080533838647406
0000004977-24-000138,2,0,0,-0.31080533838647406
0000004977-24-000138,3,0,1,-0.31080533838647406
0000004977-24-000138,4,0,0,-0.31080533838647406
0000004977-24-000138,5,0,0,-0.31080533838647406
0000004977-24-000138,6,0,1,-0.31080533838647406
0000004977-24-000138,7,0,1,-0.31080533838647406
0000004977-24-000138,8,0,0,-0.31080533838647406
0000004977-24-000164,-8,0,0,-0.1922168755879728
0000004977-24-000164,-7,0,1,-0.1922168755879728
0000004977-24-000164,-6,0,1,-0.1922168755879728
0000004977-24-000164,-5,0,0,-0.1922168755879728
0000004977-24-000164,-4,0,0,-0.1922168755879728
0000004977-24-000164,-3,0,0,-0.1922168755879728
0000004977-24-000164,-2,0,0,-0.1922168755879728
0000004977-24-000164,-1,0,0,-0.1922168755879728
0000004977-24-000164,0,0,0,-0.1922168755879728
0000004977-24-000164,1,0,1,-0.1922168755879728
0000004977-24-000164,2,0,0,-0.1922168755879728
0000004977-24-000164,3,0,0,-0.1922168755879728
0000004977-24-000164,4,0,0,-0.1922168755879728
0000004977-24-000164,5,0,1,-0.1922168755879728
0000004977-24-000164,6,0,0,-0.1922168755879728
0000004977-24-000164,7,0,0,-0.1922168755879728
0000004977-24-000164,8,1,1,-0.1922168755879728
0000005513-24-000158,-8,0,1,-0.1416734641162933
0000005513-24-000158,-7,0,0,-0.1416734641162933
0000005513-24-000158,-6,0,0,-0.1416734641162933
0000005513-24-000158,-5,0,0,-0.1416734641162933
0000005513-24-000158,-4,0,0,-0.1416734641162933
0000005513-24-000158,-3,0,0,-0.1416734641162933
0000005513-24-000158,-2,0,0,-0.1416734641162933
0000005513-24-000158,-1,0,0,-0.1416734641162933
0000005513-24-000158,0,0,1,-0.1416734641162933
0000005513-24-000158,1,0,3,-0.1416734641162933
0000005513-24-000158,2,0,1,-0.1416734641162933
0000005513-24-000158,3,0,3,-0.1416734641162933
0000005513-24-000158,4,0,1,-0.1416734641162933
0000005513-24-000158,5,0,0,-0.1416734641162933
0000005513-24-000158,6,0,1,-0.1416734641162933
0000005513-24-000158,7,0,0,-0.1416734641162933
0000005513-24-000158,8,0,0,-0.1416734641162933
0000006845-24-000029,-8,0,0,0.04166666710069444
0000006845-24-000029,-7,0,0,0.04166666710069444
0000006845-24-000029,-6,0,0,0.04166666710069444
0000006845-24-000029,-5,0,0,0.04166666710069444
0000006845-24-000029,-4,0,0,0.04166666710069444
0000006845-24-000029,-3,0,0,0.04166666710069444
0000006845-24-000029,-2,5,0,0.04166666710069444
0000006845-24-000029,-1,0,0,0.04166666710069444
0000006845-24-000029,0,0,0,0.04166666710069444
0000006845-24-000029,1,0,0,0.04166666710069444
0000006845-24-000029,2,0,0,0.04166666710069444
0000006845-24-000029,3,0,0,0.04166666710069444
0000006845-24-000029,4,0,0,0.04166666710069444
0000006845-24-000029,5,0,0,0.04166666710069444
0000006845-24-000029,6,0,0,0.04166666710069444
0000006845-24-000029,7,0,0,0.04166666710069444
0000006845-24-000029,8,0,0,0.04166666710069444
0000006879-24-000012,-8,0,0,-0.05947615095464323
0000006879-24-000012,-7,0,0,-0.05947615095464323
0000006879-24-000012,-6,0,0,-0.05947615095464323
0000006879-24-000012,-5,0,0,-0.05947615095464323
0000006879-24-000012,-4,0,0,-0.05947615095464323
0000006879-24-000012,-3,0,0,-0.05947615095464323
0000006879-24-000012,-2,0,0,-0.05947615095464323
0000006879-24-000012,-1,0,0,-0.05947615095464323
0000006879-24-000012,0,0,0,-0.05947615095464323
0000006879-24-000012,1,0,0,-0.05947615095464323
0000006879-24-000012,2,0,0,-0.05947615095464323
0000006879-24-000012,3,0,0,-0.05947615095464323
0000006879-24-000012,4,0,0,-0.05947615095464323
